G_filename,H_filename,Score,TP,FP,FN,Reversed Edges,Accuracy,Precision,Recall,F1-Score,Depth Deviation,Mean Depth Error
G_100_10_local_efficiency,H_100_10_local_efficiency,local_efficiency,2,5,97,3,0.019231,0.285714,0.020202,0.037736,0,0.0
G_100_10_normalized_laplacian,H_100_10_normalized_laplacian,normalized_laplacian,84,24,15,15,0.682927,0.777778,0.848485,0.811594,0,0.0
G_100_10_our_degree_centrality,H_100_10_our_degree_centrality,our_degree_centrality,81,17,18,9,0.698276,0.826531,0.818182,0.822335,0,0.0
G_100_10_pagerank,H_100_10_pagerank,pagerank,63,45,36,36,0.4375,0.583333,0.636364,0.608696,0,0.0
G_100_10_spectral_centrality,H_100_10_spectral_centrality,spectral_centrality,2,0,97,0,0.020202,1.0,0.020202,0.039604,0,0.0
G_100_10_spectral_clustering,H_100_10_spectral_clustering,spectral_clustering,20,38,79,31,0.145985,0.344828,0.20202,0.254777,0,0.0
G_100_10_spectral_radius,H_100_10_spectral_radius,spectral_radius,0,0,99,0,0.0,0.0,0.0,0.0,0,0.0
G_100_10_triangle,H_100_10_triangle,triangle,2,2,97,1,0.019802,0.5,0.020202,0.038835,0,0.0
G_100_20,H_100_20,default,57,42,42,1,0.404255,0.575758,0.575758,0.575758,3176,31.76
G_100_20_betweenness_centrality,H_100_20_betweenness_centrality,betweenness_centrality,93,25,6,6,0.75,0.788136,0.939394,0.857143,0,0.0
G_100_20_closeness_centrality,H_100_20_closeness_centrality,closeness_centrality,26,92,73,73,0.136126,0.220339,0.262626,0.239631,0,0.0
G_100_20_clustering_coefficient,H_100_20_clustering_coefficient,clustering_coefficient,4,5,95,3,0.038462,0.444444,0.040404,0.074074,0,0.0
G_100_20_core_number,H_100_20_core_number,core_number,40,0,59,0,0.40404,1.0,0.40404,0.57554,0,0.0
G_100_20_degree_centrality,H_100_20_degree_centrality,degree_centrality,81,20,18,9,0.680672,0.80198,0.818182,0.81,0,0.0
G_100_20_fiedler_vector,H_100_20_fiedler_vector,fiedler_vector,63,55,36,36,0.409091,0.533898,0.636364,0.580645,0,0.0
G_100_20_hits,H_100_20_hits,hits,56,62,43,43,0.347826,0.474576,0.565657,0.516129,0,0.0
G_100_20_in_degree_centrality,H_100_20_in_degree_centrality,in_degree_centrality,11,34,88,16,0.082707,0.244444,0.111111,0.152778,0,0.0
G_100_20_katz,H_100_20_katz,katz,23,57,76,38,0.147436,0.2875,0.232323,0.256983,0,0.0
G_100_20_laplacian_eigenmap,H_100_20_laplacian_eigenmap,laplacian_eigenmap,63,55,36,36,0.409091,0.533898,0.636364,0.580645,0,0.0
G_100_20_local_efficiency,H_100_20_local_efficiency,local_efficiency,4,5,95,3,0.038462,0.444444,0.040404,0.074074,0,0.0
G_100_20_normalized_laplacian,H_100_20_normalized_laplacian,normalized_laplacian,76,42,23,23,0.539007,0.644068,0.767677,0.700461,0,0.0
G_100_20_our_degree_centrality,H_100_20_our_degree_centrality,our_degree_centrality,82,28,17,11,0.645669,0.745455,0.828283,0.784689,0,0.0
G_100_20_pagerank,H_100_20_pagerank,pagerank,56,62,43,43,0.347826,0.474576,0.565657,0.516129,0,0.0
G_100_20_spectral_centrality,H_100_20_spectral_centrality,spectral_centrality,2,0,97,0,0.020202,1.0,0.020202,0.039604,0,0.0
G_100_20_spectral_clustering,H_100_20_spectral_clustering,spectral_clustering,28,32,71,23,0.21374,0.466667,0.282828,0.352201,0,0.0
G_100_20_spectral_radius,H_100_20_spectral_radius,spectral_radius,0,0,99,0,0.0,0.0,0.0,0.0,0,0.0
G_100_20_triangle,H_100_20_triangle,triangle,4,2,95,1,0.039604,0.666667,0.040404,0.07619,0,0.0
G_100_30,H_100_30,default,48,51,51,2,0.32,0.484848,0.484848,0.484848,3386,33.86
G_100_30_betweenness_centrality,H_100_30_betweenness_centrality,betweenness_centrality,93,35,6,6,0.69403,0.726562,0.939394,0.819383,0,0.0
